Идентификатор DOI *,Количество авторов *,Фамилия *,Имя *,Количество аффилиаций *,Аффиляция *,Контрибьюция *,Дата публикации *,Наименование публикации *,Наименование издания *,Библиографическая ссылка *,Вид издания  *
10.28991/HEF-2024-05-02-08,10,Vatutina L., Department of Management,1,Moscow Polytechnic University,0.1,2024,"Sustainable Human Capital Management, ESG, and Firm Performance: Moderating Role of ESG Disclosure","Journal of Human, Earth, and Future","Jorgji S., Polytechnic University of Tirana, Teta J., Department of Production and Management, Mousa S., Department of Finance, Ponkratov V., Institute for Research on Socio-Economic Transformations and Financial Policy, Elyakova I., Department of Economics and Finance, Vatutina L., Department of Management, Pozdnyaev A., Institute for Research on Socio-Economic Transformations and Financial Policy, Chernysheva T., Institute for Research on Socio-Economic Transformations and Financial Policy, Romanenko E., Department of Economics, Kosov M., Institute for Research on Socio-Economic Transformations and Financial Policy Sustainable Human Capital Management, ESG, and Firm Performance: Moderating Role of ESG Disclosure 2024 Journal of Human, Earth, and Future, 5 (2), Art. No. nan, pp. 260-278",Статья
10.1007/s10008-024-05826-5,14,Milovich F.O., Department of Materials Science of Semiconductors and Dielectrics,2,"National University of Science and Technology “MISIS”, Department of Materials Science",0.04,2024,Comparative analysis of the structure and electrical properties of single crystal and ceramic (ZrO2)0.90(Sc2O3)0.09(Yb2O3)0.01 solid electrolyte,Journal of Solid State Electrochemistry,"Agarkov D.A., Osipyan Institute of Solid State Physics RAS, Agarkova E.A., Osipyan Institute of Solid State Physics RAS, Borik M.A., Prokhorov General Physics Institute of Russian Academy of Sciences, Buzaeva E.M., Institute of High Technologies and New Materials, Korableva G.M., Osipyan Institute of Solid State Physics RAS, Kulebyakin A.V., Prokhorov General Physics Institute of Russian Academy of Sciences, Kuritsyna I.E., Osipyan Institute of Solid State Physics RAS, Kyashkin V.M., Institute of High Technologies and New Materials, Lomonova E.E., Prokhorov General Physics Institute of Russian Academy of Sciences, Milovich F.O., Department of Materials Science of Semiconductors and Dielectrics, Myzina V.A., Prokhorov General Physics Institute of Russian Academy of Sciences, Ryabochkina P.A., Institute of High Technologies and New Materials, Tabachkova N.Y., Prokhorov General Physics Institute of Russian Academy of Sciences, Tapero M.K., Prokhorov General Physics Institute of Russian Academy of Sciences Comparative analysis of the structure and electrical properties of single crystal and ceramic (ZrO2)0.90(Sc2O3)0.09(Yb2O3)0.01 solid electrolyte 2024 Journal of Solid State Electrochemistry, 28 (6), Art. No. nan, pp. 1963-1970",Статья
10.3390/inorganics12030076,10,Smirnov A.D., Center of Collective Usage “High-Tech Chemical Technologies,1,Moscow Polytechnic University,0.1,2024,Barium Titanate Synthesis in Water Vapor: From Mechanism to Ceramics Properties,Inorganics,"Kholodkova A.A., Laboratory of Ceramic Materials and Technology, Ivakin Y.D., Chemistry Department, Danchevskaya M.N., Chemistry Department, Muravieva G.P., Chemistry Department, Egorov A.V., Chemistry Department, Smirnov A.D., Center of Collective Usage “High-Tech Chemical Technologies, Khrustalev A.N., Laboratory of Ceramic Materials and Technology, Arbanas L.A., Laboratory of Ceramic Materials and Technology, Bazarova V.E., Laboratory of Ceramic Materials and Technology, Smirnov A.V., Laboratory of Ceramic Materials and Technology Barium Titanate Synthesis in Water Vapor: From Mechanism to Ceramics Properties 2024 Inorganics, 12 (3), Art. No. 76, pp. nan-nan",Статья
10.13187/bg.2024.2.726,4,,,1,"Russian Federation, Russian Federation, Russian Federation",0.0,2024,D.I. Yavornitsky as an Archaeologist (Pre-Revolutionary Period of Activity); [Д.И. Яворницкий как археолог (дореволюционный период деятельности)],Bylye Gody,"Kokorina Y.G., Moscow Polytechnic University, Vagabov M.M., Moscow Polytechnic University, Khusnutdinova L.G., Moscow Polytechnic University, Abdullaev U.I., Urgench State University D.I. Yavornitsky as an Archaeologist (Pre-Revolutionary Period of Activity); [Д.И. Яворницкий как археолог (дореволюционный период деятельности)] 2024 Bylye Gody, 19 (2), Art. No. nan, pp. 726-737",Статья
10.3390/polym16060864,7,Zadorozhnyy M.Y., Laboratory of Functional Polymer Materials,2,"National University of Science and Technology “MISIS”, Center for Project Activities",0.07,2024,Surface Treatment Effect on the Mechanical and Thermal Behavior of the Glass Fabric Reinforced Polysulfone,Polymers,"Sherif G., Production Engineering and Mechanical Design, Chukov D.I., Laboratory of Functional Polymer Materials, Tcherdyntsev V.V., Laboratory of Functional Polymer Materials, Stepashkin A.A., Laboratory of Functional Polymer Materials, Zadorozhnyy M.Y., Laboratory of Functional Polymer Materials, Shulga Y.M., Federal Research Center for Problems of Chemical Physics and Medicinal Chemistry, Kabachkov E.N., Federal Research Center for Problems of Chemical Physics and Medicinal Chemistry Surface Treatment Effect on the Mechanical and Thermal Behavior of the Glass Fabric Reinforced Polysulfone 2024 Polymers, 16 (6), Art. No. 864, pp. nan-nan",Статья
10.3390/polym16101423,5,"Doronin F., Savel’ev M., Rytikov G., Evdokimov A., Nazarov V."," Faculty of Printing Industry,  Faculty of Printing Industry,  Faculty of Printing Industry,  Faculty of Printing Industry,  Faculty of Printing Industry",1,"Moscow Polytechnic University, Moscow Polytechnic University, Moscow Polytechnic University, Moscow Polytechnic University, Moscow Polytechnic University",1.0,2024,A New Approach to Carbon Nanotube Filament Nanostructuring for Additive Manufacturing,Polymers,"Doronin F., Faculty of Printing Industry, Savel’ev M., Faculty of Printing Industry, Rytikov G., Faculty of Printing Industry, Evdokimov A., Faculty of Printing Industry, Nazarov V., Faculty of Printing Industry A New Approach to Carbon Nanotube Filament Nanostructuring for Additive Manufacturing 2024 Polymers, 16 (10), Art. No. 1423, pp. nan-nan",Статья
10.1016/j.matchar.2024.113981,10,,,1,"Russian Federation, Russian Federation",0.0,2024,Hot deformation behavior of NiTiHf alloy under compression: Effect of deformation heating on flow softening,Materials Characterization,"Volodko S., Moscow Polytechnic University, Yudin S., Moscow Polytechnic University, Korotitskiy A., National University of Science and Technology MISIS, Markova G., Tula State University, Cheverikin V., Lomonosov Moscow State University, Permyakova D., Tula State University, Poliakov M., Institute of Nanotechnology of Microelectronics, Titov D., University of Bayreuth, Moskovkikh D., National University of Science and Technology MISIS, Kasimtsev A., LLC Metsintez Hot deformation behavior of NiTiHf alloy under compression: Effect of deformation heating on flow softening 2024 Materials Characterization, 212 (nan), Art. No. 113981, pp. nan-nan",Статья
10.1007/s10008-023-05695-4,10,Milovich F.O., Department of Materials Science of Semiconductors and Dielectrics,2,"National University of Science and Technology “MISIS”, Department of Materials Science",0.05,2024,"Solid electrolytes based on zirconium dioxide partially stabilized with oxides of yttrium, gadolinium, and samarium",Journal of Solid State Electrochemistry,"Agarkov D.A., Osipyan Institute of Solid State Physics RAS, Borik M.A., Prokhorov General Physics Institute of Russian Academy of Sciences, Chislov A.S., Prokhorov General Physics Institute of Russian Academy of Sciences, Komarov B.E., Prokhorov General Physics Institute of Russian Academy of Sciences, Kulebyakin A.V., Prokhorov General Physics Institute of Russian Academy of Sciences, Kuritsyna I.E., Osipyan Institute of Solid State Physics RAS, Lomonova E.E., Prokhorov General Physics Institute of Russian Academy of Sciences, Milovich F.O., Department of Materials Science of Semiconductors and Dielectrics, Myzina V.A., Prokhorov General Physics Institute of Russian Academy of Sciences, Tabachkova N.Y., Prokhorov General Physics Institute of Russian Academy of Sciences Solid electrolytes based on zirconium dioxide partially stabilized with oxides of yttrium, gadolinium, and samarium 2024 Journal of Solid State Electrochemistry, 28 (6), Art. No. nan, pp. 1977-1985",Статья
10.3390/nano14090763,7,Shchegolkov A.V., Center for Project Activities,1,Moscow Polytechnic University,0.14,2024,Investigation of Field Emission Properties of Carbon Nanotube Arrays of Different Morphologies,Nanomaterials,"Chumak M.A., Centre of Nanoheterostructure Physics, Shchegolkov A.V., Institute of Power Engineering, Popov E.O., Division of Plasma Physics, Filippov S.V., Division of Plasma Physics, Kolosko A.G., Division of Plasma Physics, Shchegolkov A.V., Center for Project Activities, Babaev A.A., Institute of Physics DFIC RAS Investigation of Field Emission Properties of Carbon Nanotube Arrays of Different Morphologies 2024 Nanomaterials, 14 (9), Art. No. 763, pp. nan-nan",Статья
10.3390/app14051959,6,"Panokin N.V., Averin A.V., Kostin I.A., Karlovskiy A.V., Orelkina D.I., Nalivaiko A.Y."," Center for Advanced Development of Autonomous Systems,  Center for Advanced Development of Autonomous Systems,  Center for Advanced Development of Autonomous Systems,  Center for Advanced Development of Autonomous Systems,  Center for Advanced Development of Autonomous Systems,  Center for Advanced Development of Autonomous Systems",1,"Moscow Polytechnic University, Moscow Polytechnic University, Moscow Polytechnic University, Moscow Polytechnic University, Moscow Polytechnic University, Moscow Polytechnic University",1.0,2024,"Method for Sparse Representation of Complex Data Based on Overcomplete Basis, l1 Norm, and Neural MFNN-like Network",Applied Sciences (Switzerland),"Panokin N.V., Center for Advanced Development of Autonomous Systems, Averin A.V., Center for Advanced Development of Autonomous Systems, Kostin I.A., Center for Advanced Development of Autonomous Systems, Karlovskiy A.V., Center for Advanced Development of Autonomous Systems, Orelkina D.I., Center for Advanced Development of Autonomous Systems, Nalivaiko A.Y., Center for Advanced Development of Autonomous Systems Method for Sparse Representation of Complex Data Based on Overcomplete Basis, l1 Norm, and Neural MFNN-like Network 2024 Applied Sciences (Switzerland), 14 (5), Art. No. 1959, pp. nan-nan",Статья
10.1134/S2075113324020357,4,,,1,Moscow,0.0,2024,Compressibility of Composite Materials Based on Fibrous Fillers of Various Compositions,Inorganic Materials: Applied Research,"Pereverzeva T.A., Kosygin Russian State University (Technologies, Efremova E.Y., Kosygin Russian State University (Technologies, Chernousova N.V., Kosygin Russian State University (Technologies, Dedov A.V., Moscow Polytechnic University Compressibility of Composite Materials Based on Fibrous Fillers of Various Compositions 2024 Inorganic Materials: Applied Research, 15 (2), Art. No. nan, pp. 414-419",Статья
10.58727/jshr.102273,5,,,1,Moscow,0.0,2024,EFECTOS DEL ENTRENAMIENTO INTERVÁLICO DE ALTA INTENSIDAD SOBRE LA CAPACIDAD AERÓBICA Y VARIABILIDAD CARDIACA EN ESTUDIANTES UNIVERSITARIOS. ESTUDIO CUASIEXPERIMENTAL,Journal of Sport and Health Research,"Fuentes-Barría H., Universidad Arturo Prat, Aguilera-Eguía R., Departamento de Salud Pública, Polevoy G.G., Moscow Polytechnic University, Maureira-Sánchez J., Facultad de Educación, Angarita-Dávila L., Escuela de Nutrición y Dietética EFECTOS DEL ENTRENAMIENTO INTERVÁLICO DE ALTA INTENSIDAD SOBRE LA CAPACIDAD AERÓBICA Y VARIABILIDAD CARDIACA EN ESTUDIANTES UNIVERSITARIOS. ESTUDIO CUASIEXPERIMENTAL 2024 Journal of Sport and Health Research, 16 (2), Art. No. nan, pp. 239-248",Статья
10.1007/s10527-024-10345-8,5,Istomina T.V., Department of SMART Technologies,3,"Moscow Polytechnic University, Science Research Support Center, Department of Basic Radiotechnology",0.07,2024,Signal transformation in refractometric fiber-optic microsensors in life support systems,Biomedical Engineering,"Murashkina T.I., Department of Instrumentation, Badeeva E.A., Department of Radiotechnology and Radioelectronic Systems, Istomina T.V., Department of SMART Technologies, Badeev V.A., Department of Instrumentation, Aksenov A.M., Department of Instrumentation Signal transformation in refractometric fiber-optic microsensors in life support systems 2024 Biomedical Engineering, 57 (6), Art. No. nan, pp. 405-409",Статья
10.3390/s24113535,4,Gasiyarov V.R., Department of Automation and Control,1,Moscow Polytechnic University,0.25,2024,Hybrid Vibration Sensor for Equipment Monitoring and Diagnostics,Sensors,"Bryakin I.V., Laboratory of Information and Measuring Systems, Bochkarev I.V., Department of Electromechanics, Khramshin V.R., Power Engineering and Automated Systems Institute, Gasiyarov V.R., Department of Automation and Control Hybrid Vibration Sensor for Equipment Monitoring and Diagnostics 2024 Sensors, 24 (11), Art. No. 3535, pp. nan-nan",Статья
10.1088/1361-651X/ad56a6,4,Koshmin A.N., Department of Metal Forming,2,"National University of Science and Technology MISIS, Moscow Polytechnic University",0.12,2024,Simulation of taper heating and variable pressing rate to improve extrusion performance for high-strength aluminum alloys,Modelling and Simulation in Materials Science and Engineering,"Danilin V.N., Department of Metal Forming, Aleshchenko A.S., Department of Metal Forming, Danilin A.V., Department of Metal Forming, Koshmin A.N., Department of Metal Forming Simulation of taper heating and variable pressing rate to improve extrusion performance for high-strength aluminum alloys 2024 Modelling and Simulation in Materials Science and Engineering, 32 (6), Art. No. 065006, pp. nan-nan",Статья
10.1007/s10008-023-05546-2,12,Milovich F.O., Department of Materials Science,2,"Moscow Polytechnic University, Department of Materials Science of Semiconductors and Dielectrics",0.04,2024,Effect of ceria on the properties of yttria-stabilized zirconia-based electrolytic membranes,Journal of Solid State Electrochemistry,"Agarkov D.A., Osipyan Institute of Solid State Physics RAS, Borik M.A., Prokhorov General Physics Institute of Russian Academy of Sciences, Korableva G.M., Osipyan Institute of Solid State Physics RAS, Kulebyakin A.V., Prokhorov General Physics Institute of Russian Academy of Sciences, Komarov B.E., Prokhorov General Physics Institute of Russian Academy of Sciences, Kuritsyna I.E., Osipyan Institute of Solid State Physics RAS, Lomonova E.E., Prokhorov General Physics Institute of Russian Academy of Sciences, Milovich F.O., Department of Materials Science, Myzina V.A., Prokhorov General Physics Institute of Russian Academy of Sciences, Pankratov V.A., Institute of Solid State Physics, Tabachkova N.Y., Prokhorov General Physics Institute of Russian Academy of Sciences, Zakharov D.M., Department of Materials Science of Semiconductors and Dielectrics Effect of ceria on the properties of yttria-stabilized zirconia-based electrolytic membranes 2024 Journal of Solid State Electrochemistry, 28 (6), Art. No. nan, pp. 1901-1908",Статья
10.1016/j.matlet.2024.135952,1,Golovin I.S., National University of Science and Technology‘MISIS’ Moscow,2,"Russian Federation, Moscow Polytechnic University",0.5,2024,DMA study of recrystallization kinetic in non-ferrous alloys,Materials Letters,"Golovin I.S., National University of Science and Technology‘MISIS’ Moscow DMA study of recrystallization kinetic in non-ferrous alloys 2024 Materials Letters, 360 (nan), Art. No. 135952, pp. nan-nan",Статья
10.1134/S2075113324020175,2,,,1,Moscow,0.0,2024,Study of the Influence of Organic and Modifying Additives on the Technological Properties of G13 Powder Steel,Inorganic Materials: Applied Research,"Eremeeva Z.V., National University of Science and Technology MISIS, Ter-Vaganyants Y.S., Moscow Polytechnic University (Moscow Polytech) Study of the Influence of Organic and Modifying Additives on the Technological Properties of G13 Powder Steel 2024 Inorganic Materials: Applied Research, 15 (2), Art. No. nan, pp. 539-544",Статья
10.1016/j.polymertesting.2024.108376,4,"Doronin F., Rudakova A., Rytikov G., Nazarov V."," Faculty of Printing Industry,  Faculty of Printing Industry,  Faculty of Printing Industry,  Faculty of Printing Industry",1,"Moscow Polytechnic University, Moscow Polytechnic University, Moscow Polytechnic University, Moscow Polytechnic University",1.0,2024,A novel determination of the melt flow index of composite filaments used in extrusion additive manufacturing,Polymer Testing,"Doronin F., Faculty of Printing Industry, Rudakova A., Faculty of Printing Industry, Rytikov G., Faculty of Printing Industry, Nazarov V., Faculty of Printing Industry A novel determination of the melt flow index of composite filaments used in extrusion additive manufacturing 2024 Polymer Testing, 133 (nan), Art. No. 108376, pp. nan-nan",Статья
10.1134/S2075113324020059,4,,,1,107023,0.0,2024,Effect of Irradiation with 132Xe27+ Ions at Different Angles on the Critical Parameters of Second-Generation HTSC Tapes Based on GdBa2Cu3O7–x,Inorganic Materials: Applied Research,"Antonova L.K., All-Russian Institute for Scientific and Technical Information, Moscow Polytechnic University, Moscow, Semina V.K., Joint Institute for Nuclear Research, Troitskii A.V., Prokhorov General Physics Institute of the Russian Academy of Sciences Effect of Irradiation with 132Xe27+ Ions at Different Angles on the Critical Parameters of Second-Generation HTSC Tapes Based on GdBa2Cu3O7–x 2024 Inorganic Materials: Applied Research, 15 (2), Art. No. nan, pp. 314-318",Статья
10.18280/ijsse.140309,6,Orlova E., Printing Art Systems Department,1,Moscow Polytechnic University,0.17,2024,Bank Financial Risk Assessment in the Digital Background,International Journal of Safety and Security Engineering,"Petrina O., Department of State and Municipal Administration, Stadolin M., Department of State and Municipal Administration, Kozhina V., Department of Management, Kurtynov I., Department of Civil and Criminal Law and Procedure, Nikolskaya E., Department of Hotel and Tourism Management, Orlova E., Printing Art Systems Department Bank Financial Risk Assessment in the Digital Background 2024 International Journal of Safety and Security Engineering, 14 (3), Art. No. nan, pp. 765-771",Статья
10.18721/JPM.17109,9,,,0,,0.0,2024,AN ANALYSIS OF THE ASGARDARCHAEA Cas1_3 PROTEIN: EXPERIMENTAL CHARACTERIZATION OF A POTENTIAL INTERMEDIATE IN THE EVOLUTION OF CRISPR-Cas SYSTEMS; [АНАЛИЗ БЕЛКА Cas1_3 АСГАРДАРХЕЙ: ЭКСПЕРИМЕНТАЛЬНАЯ ХАРАКТЕРИСТИКА ПОТЕНЦИАЛЬНОГО ПРОМЕЖУТОЧНОГО ЗВЕНА В ЭВОЛЮЦИИ СИСТЕМ CRISPR-Cas],St. Petersburg State Polytechnical University Journal: Physics and Mathematics,"Abramova M.V., Peter the Great St. Petersburg Polytechnic University, Malykh A.S., Peter the Great St. Petersburg Polytechnic University, Gatieva I.M., Peter the Great St. Petersburg Polytechnic University, Kazalov M.A., Peter the Great St. Petersburg Polytechnic University, Selkova P.A., Peter the Great St. Petersburg Polytechnic University, Yakimov A.P., Peter the Great St. Petersburg Polytechnic University, Vasileva A.А., Peter the Great St. Petersburg Polytechnic University, Arseniev A.N., Peter the Great St. Petersburg Polytechnic University, Khodorkovskii M.A., Peter the Great St. Petersburg Polytechnic University AN ANALYSIS OF THE ASGARDARCHAEA Cas1_3 PROTEIN: EXPERIMENTAL CHARACTERIZATION OF A POTENTIAL INTERMEDIATE IN THE EVOLUTION OF CRISPR-Cas SYSTEMS; [АНАЛИЗ БЕЛКА Cas1_3 АСГАРДАРХЕЙ: ЭКСПЕРИМЕНТАЛЬНАЯ ХАРАКТЕРИСТИКА ПОТЕНЦИАЛЬНОГО ПРОМЕЖУТОЧНОГО ЗВЕНА В ЭВОЛЮЦИИ СИСТЕМ CRISPR-Cas] 2024 St. Petersburg State Polytechnical University Journal: Physics and Mathematics, 17 (1), Art. No. nan, pp. 81-92",Статья
10.3390/en17071630,6,"Maklakov A.S., Radionov A.A."," Department of Automation and Control,  Department of Automation and Control",1,"Moscow Polytechnic University, Moscow Polytechnic University",0.33,2024,Comprehensive Structural Reliability Assessment When Choosing Switchgear Circuits for 35–220 kV Step-Up Substations,Energies,"Varganova A.V., Power Engineering and Automated Systems Institute, Irikhov A.S., JSC Magnitogorsk GIPROMEZ, Utesheva A.A., JSC Magnitogorsk GIPROMEZ, Khramshin V.R., Power Engineering and Automated Systems Institute, Maklakov A.S., Department of Automation and Control, Radionov A.A., Department of Automation and Control Comprehensive Structural Reliability Assessment When Choosing Switchgear Circuits for 35–220 kV Step-Up Substations 2024 Energies, 17 (7), Art. No. 1630, pp. nan-nan",Статья
10.1063/5.0190351,11,Kolesov D., National Medical Research Center for Obstetrics,2,"Gynecology and Perinatology named after Academician, Moscow Polytechnic University",0.05,2024,Microfluidic-nanophotonic sensor for on-chip analysis of complex refractive index,Applied Physics Letters,"Kuzin A., Center for Photonic Science and Engineering, Panda K., Center for Photonic Science and Engineering, Chernyshev V., National Medical Research Center for Obstetrics, Florya I., Laboratory of Photonic Gas Sensors, Kovalyuk V., Laboratory of Photonic Gas Sensors, An P., National Medical Research Center for Obstetrics, Golikov A., Laboratory of Photonic Gas Sensors, Chulkova G., National Research University, Kolesov D., National Medical Research Center for Obstetrics, Gorin D., Center for Photonic Science and Engineering, Goltsman G., National Research University Microfluidic-nanophotonic sensor for on-chip analysis of complex refractive index 2024 Applied Physics Letters, 124 (6), Art. No. 063701, pp. nan-nan",Статья
10.47197/retos.v55.104093,1,,,1,Russian Federation,0.0,2024,Sensitive periods for the development of endurance of schoolchildren; [Períodos sensitivos para el desarrollo de la resistencia de los escolares],Retos,"Polevoy G., Moscow Polytechnic University Sensitive periods for the development of endurance of schoolchildren; [Períodos sensitivos para el desarrollo de la resistencia de los escolares] 2024 Retos, 55 (nan), Art. No. nan, pp. 672-678",Статья
10.1016/j.ceramint.2023.12.070,6,,,1,"Moscow, Moscow, Moscow, Moscow",0.0,2024,Relationship of dynamic and static modules of elasticity of ceramics based on diatomite,Ceramics International,"Nikolaev V.K., Moscow Polytechnic University, Skvortsov A.A., Moscow Polytechnic University, Lukyanov M.N., Moscow Polytechnic University, Skvortsov P.A., Mechanical Engineering Research Institute, Gridasova E.A., Far Eastern Federal University, Dmitrevsky A.A., Moscow Polytechnic University Relationship of dynamic and static modules of elasticity of ceramics based on diatomite 2024 Ceramics International, 50 (5), Art. No. nan, pp. 7589-7596",Статья
10.3103/S1068335624600232,8,Selyukov A.S., Bauman Moscow State Technical University,4,"Moscow, Lebedev Physical Institute, Moscow Polytechnic University, All-Russian Institute for Scientific and Technical Information (VINITI)",0.03,2024,Effect of Chlorine Introduction on Luminescent Properties of Novel Eu3+ Coordination Compounds with β-Diketones and Unsatured Carboxylic Acids,Bulletin of the Lebedev Physics Institute,"Osadchenko A.V., Bauman Moscow State Technical University, Daibagya D.S., Lebedev Physical Institute, Zakharchuk I.A., Lebedev Physical Institute, Selyukov A.S., Bauman Moscow State Technical University, Ambrozevich S.A., Lebedev Physical Institute, Ryzhov A.V., Limited Liability Company Khimtekh, Pevtsov N.V., Limited Liability Company Khimtekh, Pevtsov D.N., Moscow Institute of Physics and Technology Effect of Chlorine Introduction on Luminescent Properties of Novel Eu3+ Coordination Compounds with β-Diketones and Unsatured Carboxylic Acids 2024 Bulletin of the Lebedev Physics Institute, 51 (4), Art. No. nan, pp. 135-139",Статья
