Идентификатор DOI *,Количество авторов *,Фамилия *,Имя *,Количество аффиляций *,Аффиляция *,Контрибьюция *,Дата публикации *,Наименование публикации *,Наименование издания *,Библиографическая ссылка *,Вид издания  *
10.3390/cells12202428,8,Kolesov, D.,1,Research Laboratory of SPM,0.12,2023,Scanning Ion-Conductance Microscopy for Studying Mechanical Properties of Neuronal Cells during Local Delivery of Glutamate,Cells,"Kolmogorov, V., Erofeev, A., Vaneev, A., Gorbacheva, L., Kolesov, D., Klyachko, N., Korchev, Y., Gorelkin, P. Scanning Ion-Conductance Microscopy for Studying Mechanical Properties of Neuronal Cells during Local Delivery of Glutamate (2023) Cells, 12 (20), Статья № 2428",Статья
10.1134/S0018143923050120,2,Kopylov, S.V.,1,Moscow Polytechnic University,0.5,2023,Effect of Ionizing Radiation on Electrical Conductivity of a Tetrafluoroethylene–Ethylene Copolymer Containing Single-Wall Carbon Nanotubes,High Energy Chemistry,"Selkin, V.P., Kopylov, S.V. Effect of Ionizing Radiation on Electrical Conductivity of a Tetrafluoroethylene–Ethylene Copolymer Containing Single-Wall Carbon Nanotubes (2023) High Energy Chemistry, 57 (5), pp. 457-458",Статья
10.1007/s10701-023-00723-9,1,Golovko, V.A.,1,Moscow Polytechnic University,1.0,2023,Is the Electron Magnetic Moment Unique?,Foundations of Physics,"Golovko, V.A. Is the Electron Magnetic Moment Unique? (2023) Foundations of Physics, 53 (5), Статья № 81",Статья
10.1002/jctb.7476,9,Moskovskikh, D.,2,"Center of Functional Nano-Ceramics, Research Laboratory of Scanning Probe Microscopy",0.06,2023,"Mesoporous nanocomposites based on CeO2 and MgO: preparation, structure and photocatalytic activity",Journal of Chemical Technology and Biotechnology,"Matsukevich, I., Kulinich, N., Kulbitskaya, L., Kuznetsova, T., Popkov, V., Chebanenko, M., Moskovskikh, D., Kuskov, K., Romanovski, V. Mesoporous nanocomposites based on CeO2 and MgO: preparation, structure and photocatalytic activity (2023) Journal of Chemical Technology and Biotechnology, 98 (10), pp. 2497-2505",Статья
10.55908/sdgs.v11i7.972,6,Dmitrieva, O.,1,Moscow Polytechnic University,0.17,2023,INTRODUCTION OF ECONOMIC AND LEGAL MEASURES FOR THE DEVELOPMENT OF THE ECOLOGIZATION SYSTEM AT AN ENTERPRISE [INTRODUÇÃO DE MEDIDAS ECONÔMICAS E JURÍDICAS PARA O DESENVOLVIMENTO DO SISTEMA DE ECOLOGIZAÇÃO NUMA EMPRESA],Journal of Law and Sustainable Development,"Dzhancharov, T., Rozanova, T., Pasternak, S., Dmitrieva, O., Romanova, A., Lebedev, K. INTRODUCTION OF ECONOMIC AND LEGAL MEASURES FOR THE DEVELOPMENT OF THE ECOLOGIZATION SYSTEM AT AN ENTERPRISE [INTRODUÇÃO DE MEDIDAS ECONÔMICAS E JURÍDICAS PARA O DESENVOLVIMENTO DO SISTEMA DE ECOLOGIZAÇÃO NUMA EMPRESA] (2023) Journal of Law and Sustainable Development, 11 (7), Статья № e0972",Статья
10.1016/j.wear.2023.204989,7,Milovich, F.,2,"National University of Science and Technology “MISiS”, Department of Materials Science",0.07,2023,"Crack formation and oxidation wear in (Cr,Y,Al)N and (Mo,Y,Al)N nanolayer coatings with high content of yttrium",Wear,"Grigoriev, S., Vereschaka, A., Milovich, F., Sitnikov, N., Bublikov, J., Seleznev, A., Sotova, C. Crack formation and oxidation wear in (Cr,Y,Al)N and (Mo,Y,Al)N nanolayer coatings with high content of yttrium (2023) Wear, 528-529, Статья № 204989",Статья
10.1007/s11015-023-01550-z,2,Davidenko, L.V.,1,Moscow Polytechnic University,0.5,2023,Titanium Alloy Strength Diagrams at Operating Temperatures,Metallurgist,"Egorova, Y.B., Davidenko, L.V. Titanium Alloy Strength Diagrams at Operating Temperatures (2023) Metallurgist, 67 (5-6), pp. 614-627",Статья
10.32744/pse.2023.5.42,3,Chvyakin, V.A.,1,Department of Advertising and Public Relations,0.33,2023,Loyalty of young professionals as a factor in the development of the professional environment on the example of pedagogical universities [Лояльность молодых специалистов как фактор развития профессиональной среды на примере педагогических вузов],Perspektivy Nauki i Obrazovania,"Ivanov, S.Yu., Ivanova, D.V., Chvyakin, V.A. Loyalty of young professionals as a factor in the development of the professional environment on the example of pedagogical universities [Лояльность молодых специалистов как фактор развития профессиональной среды на примере педагогических вузов] (2023) Perspektivy Nauki i Obrazovania, 65 (5), pp. 720-740",Статья
10.3103/S1068798X23090071,3,"Balovnev, Brovkina, Starikov"," N.P.,  Y.I.,  A.I.",1,"Moscow Polytechnic University, Moscow Polytechnic University, Moscow Polytechnic University",1.0,2023,Improved Belt Drives,Russian Engineering Research,"Balovnev, N.P., Brovkina, Y.I., Starikov, A.I. Improved Belt Drives (2023) Russian Engineering Research, 43 (9), pp. 1064-1067",Статья
10.3390/coatings13091592,4,"Doronin, Rudakova, Rytikov, Nazarov"," F.,  A.,  G.,  V.",1,"Faculty of Printing Industry, Faculty of Printing Industry, Faculty of Printing Industry, Faculty of Printing Industry",1.0,2023,Simple Determination of the Melt Flow Index of Composite Polymer Filaments Used in Material Extrusion Additive Manufacturing,Coatings,"Doronin, F., Rudakova, A., Rytikov, G., Nazarov, V. Simple Determination of the Melt Flow Index of Composite Polymer Filaments Used in Material Extrusion Additive Manufacturing (2023) Coatings, 13 (9), Статья № 1592",Статья
10.3390/met13091584,5,Doroshenko, V.,1,Sector of Project Activities,0.2,2023,Phase Composition and Microstructure of Cast Al-6%Mg-2%Ca-2%Zn Alloy with Fe and Si Additions,Metals,"Doroshenko, V., Shurkin, P., Sviridova, T., Fortuna, A., Shkaley, I. Phase Composition and Microstructure of Cast Al-6%Mg-2%Ca-2%Zn Alloy with Fe and Si Additions (2023) Metals, 13 (9), Статья № 1584",Статья
10.3390/met13091509,6,"Letyagin, Akopyan"," N.V.,  T.K.",2,"Sector of Scientific Activity, Department of Metal Forming, Sector of Scientific Activity, Department of Metal Forming",0.17,2023,"The Characterization of Coatings Formed on As-Cast Al, Al–Si, and Al–Ca Aluminum Substrates by Plasma Electrolytic Oxidation",Metals,"Letyagin, N.V., Akopyan, T.K., Sokorev, A.A., Sviridova, T.A., Cherkasov, S.O., Mansurov, Y.N. The Characterization of Coatings Formed on As-Cast Al, Al–Si, and Al–Ca Aluminum Substrates by Plasma Electrolytic Oxidation (2023) Metals, 13 (9), Статья № 1509",Статья
10.1051/0004-6361/202245189,7,Shiriaev, A.,1,Moscow Polytechnic University,0.14,2023,Understanding of the properties of neural network approaches for transient light curve approximations,Astronomy and Astrophysics,"Demianenko, M., Malanchev, K., Samorodova, E., Sysak, M., Shiriaev, A., Derkach, D., Hushchyn, M. Understanding of the properties of neural network approaches for transient light curve approximations (2023) Astronomy and Astrophysics, 677, Статья № A16",Статья
10.1007/s10527-023-10303-w,3,Istomina, T.V.,3,"Research Support Center, Department of Basic Radio Engineering, Department of Informatics and Information Technology",0.11,2023,Monitoring of Cerebral Activity during Suppression of Pain Sensations Using Virtual Reality Technology,Biomedical Engineering,"Istomina, T.V., Spirkin, A.N., Beloglazov, A.A. Monitoring of Cerebral Activity during Suppression of Pain Sensations Using Virtual Reality Technology (2023) Biomedical Engineering, 57 (3), pp. 228-234",Статья
10.1007/s00170-023-12013-9,5,Radionova, L.,1,Department of Metallurgy,0.2,2023,Resistance spot welding of high-strength low-alloyed (HSLA) 420 steel and bake-hardening (BH) 220 steel,International Journal of Advanced Manufacturing Technology,"Zhao, D., Vdonin, N., Radionova, L., Glebov, L., Guseinov, K. Resistance spot welding of high-strength low-alloyed (HSLA) 420 steel and bake-hardening (BH) 220 steel (2023) International Journal of Advanced Manufacturing Technology, 128 (3-4), pp. 1441-1453",Статья
10.1016/j.jeurceramsoc.2023.04.056,11,Yudin, S.,2,"National University of Science and Technology MISIS, Moscow Polytechnic University",0.05,2023,"Fabrication of high-entropy carbide ceramics (Ti,Zr,Hf,Nb,Ta)C through low-temperature calcium-hydride reduction of oxides",Journal of the European Ceramic Society,"Yudin, S., Volodko, S., Moskovskikh, D., Alimov, I., Guryanov, A., Zhevnenko, S., Guo, H., Korotitsky, A., Sidnov, K., Roslyakov, S., Zhang, C. Fabrication of high-entropy carbide ceramics (Ti,Zr,Hf,Nb,Ta)C through low-temperature calcium-hydride reduction of oxides (2023) Journal of the European Ceramic Society, 43 (12), pp. 5108-5116",Статья
10.1109/JIOT.2023.3263598,5,Shvetsov, A.V.,2,"Moscow Polytechnic University, North-Eastern Federal University",0.1,2023,Blockchain Meets Federated Learning in Healthcare: A Systematic Review With Challenges and Opportunities,IEEE Internet of Things Journal,"Myrzashova, R., Alsamhi, S.H., Shvetsov, A.V., Hawbani, A., Wei, X. Blockchain Meets Federated Learning in Healthcare: A Systematic Review With Challenges and Opportunities (2023) IEEE Internet of Things Journal, 10 (16), pp. 14418-14437",Статья
10.1134/S1063774523600369,7,"Bolgova, Gromovykh"," A.L.,  T.I.",2,"Moscow Polytechnic University, Moscow Polytechnic University, Shubnikov Institute of Crystallography",0.21,2023,Microstructure of Gel Films of Bacterial Cellulose Synthesized under Static Conditions of Cultivation of the Gluconacetobacter hansenii GH-1/2008 Strain on Nutrient Media with Different Carbon Sources,Crystallography Reports,"Bolgova, A.L., Shevtsov, A.V., Arkharova, N.A., Karimov, D.N., Makarov, I.S., Gromovykh, T.I., Klechkovskaya, V.V. Microstructure of Gel Films of Bacterial Cellulose Synthesized under Static Conditions of Cultivation of the Gluconacetobacter hansenii GH-1/2008 Strain on Nutrient Media with Different Carbon Sources (2023) Crystallography Reports, 68 (4), pp. 607-614",Статья
10.3103/S1068375523040063,3,"Krasnova, Morgunov, Saushkin"," E.V.,  Y.A.,  B.P.",1,"Moscow Polytechnic University, Moscow Polytechnic University, Moscow Polytechnic University",1.0,2023,Statistical Analysis of Surface Roughness of Ti–6Al–4V Products Manufactured by Selective Electron Beam Melting,Surface Engineering and Applied Electrochemistry,"Krasnova, E.V., Morgunov, Y.A., Saushkin, B.P. Statistical Analysis of Surface Roughness of Ti–6Al–4V Products Manufactured by Selective Electron Beam Melting (2023) Surface Engineering and Applied Electrochemistry, 59 (4), pp. 401-411",Статья
10.1134/S1063778823040038,8,Mukhanov, S.A.,1,Moscow Polytechnic University,0.12,2023,"Numerical Simulations of the Acceleration of Fast Protons and of the Excitation of Nuclear Reactions 11B(p, 3α) and 11B(p, n) 11C at the Intensities of Picosecond Laser Radiation in the Range of 1018-1019 W/cm2",Physics of Atomic Nuclei,"Andreev, S.N., Matafonov, A.P., Tarakanov, V.P., Belyaev, V.S., Kedrov, A.Y., Krainov, V.P., Mukhanov, S.A., Lobanov, A.V. Numerical Simulations of the Acceleration of Fast Protons and of the Excitation of Nuclear Reactions 11B(p, 3α) and 11B(p, n) 11C at the Intensities of Picosecond Laser Radiation in the Range of 1018-1019 W/cm2 (2023) Physics of Atomic Nuclei, 86 (4), pp. 406-415",Статья
10.3390/met13081421,6,Radionova, L.V.,1,Department of Metallurgy,0.17,2023,Grain Growth during Mechanical Processing of Austenitic Stainless Steel AISI 321,Metals,"Radionova, L.V., Perevozchikov, D.V., Makoveckii, A.N., Eremin, V.N., Akhmedyanov, A.M., Rushchits, S.V. Grain Growth during Mechanical Processing of Austenitic Stainless Steel AISI 321 (2023) Metals, 13 (8), Статья № 1421",Статья
10.3390/met13081442,5,"Akopyan, Letyagin"," T.,  N.",2,"Department of Metal Forming, Sector of Scientific Activity, Department of Metal Forming, Sector of Scientific Activity",0.2,2023,Structure Evolution and Mechanical Properties of Sheet Al–2Cu–1.5Mn–1Mg–1Zn (wt.%) Alloy Designed for Al20Cu2Mn3 Disperoids,Metals,"Belov, N., Akopyan, T., Tsydenov, K., Letyagin, N., Fortuna, A. Structure Evolution and Mechanical Properties of Sheet Al–2Cu–1.5Mn–1Mg–1Zn (wt.%) Alloy Designed for Al20Cu2Mn3 Disperoids (2023) Metals, 13 (8), Статья № 1442",Статья
10.3390/app13169052,9,Zadorozhnyy, M.,2,"Accelerated Particle Laboratory, Center for Project Activities",0.06,2023,Thermochemical Analysis of Hydrogenation of Pd-Containing Composite Based on TiZrVNbTa High-Entropy Alloy,Applied Sciences (Switzerland),"Savvotin, I., Berdonosova, E., Korol, A., Zadorozhnyy, V., Zadorozhnyy, M., Statnik, E., Korsunsky, A., Serov, M., Klyamkin, S. Thermochemical Analysis of Hydrogenation of Pd-Containing Composite Based on TiZrVNbTa High-Entropy Alloy (2023) Applied Sciences (Switzerland), 13 (16), Статья № 9052",Статья
10.3390/membranes13080717,14,Milovich, F.,2,"Department of Materials Science, Department of Materials Science of Semiconductors and Dielectrics",0.04,2023,Structure and Physical Properties of Ceramic Materials Based on ZrO2-Sc2O3 for SOFC Electrolytic Membranes Obtained from Powders of Melted Solid Solutions with a Similar Composition,Membranes,"Agarkov, D., Borik, M., Buzaeva, E., Korableva, G., Kulebyakin, A., Kuritsyna, I., Larina, N., Kyashkin, V., Lomonova, E., Milovich, F., Myzina, V., Ryabochkina, P., Tabachkova, N., Zakharov, D. Structure and Physical Properties of Ceramic Materials Based on ZrO2-Sc2O3 for SOFC Electrolytic Membranes Obtained from Powders of Melted Solid Solutions with a Similar Composition (2023) Membranes, 13 (8), Статья № 717",Статья
10.3390/fi15080266,7,Shvetsov, A.V.,2,"Department of Smart Technologies, Department of Car Transport Operation and Car Service",0.07,2023,An Efficient and Secure Certificateless Aggregate Signature Scheme for Vehicular Ad hoc Networks,Future Internet,"Iqbal, A., Zubair, M., Khan, M.A., Ullah, I., Ur-Rehman, G., Shvetsov, A.V., Noor, F. An Efficient and Secure Certificateless Aggregate Signature Scheme for Vehicular Ad hoc Networks (2023) Future Internet, 15 (8), Статья № 266",Статья
10.3390/en16155783,5,Voitovich, E.V.,1,Department of Industrial and Civil Engineering,0.2,2023,Temperature Evaluation of a Building Facade with a Thin Plaster Layer under Various Degrees of Cloudiness,Energies,"Korkina, E.V., Gorbarenko, E.V., Voitovich, E.V., Tyulenev, M.D., Kozhukhova, N.I. Temperature Evaluation of a Building Facade with a Thin Plaster Layer under Various Degrees of Cloudiness (2023) Energies, 16 (15), Статья № 5783",Статья
10.1063/5.0159610,7,Kalenkov, S.G.,1,Optoelectronics Department,0.14,2023,Micromechanical field-effect transistor terahertz detectors with optical interferometric readout,AIP Advances,"Ryzhii, V., Tang, C., Otsuji, T., Ryzhii, M., Kalenkov, S.G., Mitin, V., Shur, M.S. Micromechanical field-effect transistor terahertz detectors with optical interferometric readout (2023) AIP Advances, 13 (8), Статья № 85301",Статья
10.1007/s00013-023-01876-9,4,Khammatova, D.M.,2,"Kazan Federal University, Moscow Polytechnic University",0.12,2023,Weissler and Bernoulli type inequalities in Bergman spaces,Archiv der Mathematik,"Baranov, A.D., Kayumov, I.R., Khammatova, D.M., Khasyanov, R.S. Weissler and Bernoulli type inequalities in Bergman spaces (2023) Archiv der Mathematik, 121 (2), pp. 155-169",Статья
10.1016/j.matlet.2023.134428,5,"Zadorozhnyy, Petrov, Golovin"," M.Y.,  P.A.,  I.S.",2,"National University of Science and Technology MISIS, Moscow Polytechnic University, Moscow Polytechnic University, National University of Science and Technology MISIS, Moscow Polytechnic University",0.4,2023,Internal friction in AA5051 alloy subjected to compression with torsion,Materials Letters,"Palacheva, V.V., Zadorozhnyy, M.Y., Mikhaylovskaya, A.V., Petrov, P.A., Golovin, I.S. Internal friction in AA5051 alloy subjected to compression with torsion (2023) Materials Letters, 344, Статья № 134428",Статья
,5,Klyuev, R.V.,1,Moscow Polytechnic University,0.2,2023,Forecasting planned electricity consumption for the united power system using machine learning,Journal of Mining Institute,"Klyuev, R.V., Morgoeva, A.D., Gavrina, O.A., Bosikov, I.I., Morgoev, I.D. Forecasting planned electricity consumption for the united power system using machine learning (2023) Journal of Mining Institute, 261, pp. 392-402",Статья
10.1007/s10556-023-01226-0,4,"Golovanov, Baranova, Sokolov"," I.Y.,  E.Y.,  A.S.",1,"Moscow Polytechnic University, Moscow Polytechnic University, Moscow Polytechnic University",0.75,2023,Effect of Raschig Ring Wall Thickness on Energy Consumption during Column Equipment Operation,Chemical and Petroleum Engineering,"Golovanov, I.Y., Baranova, E.Y., Sokolov, A.S., Lagutkin, M.G. Effect of Raschig Ring Wall Thickness on Energy Consumption during Column Equipment Operation (2023) Chemical and Petroleum Engineering, 59 (3-4), pp. 185-190",Статья
10.1134/S0031918X2360080X,5,"Doroshenko, Aksenov"," V.V.,  A.A.",2,"National Research Technological University MISiS, Moscow Polytechnic University, Moscow Polytechnic University",0.3,2023,The Structure and Mechanical Properties of Rolled Sheets of the Multicomponent Al–2.5Ca–2.5Mg Alloy Doped with Scandium and Zirconium,Physics of Metals and Metallography,"Doroshenko, V.V., Naumova, E.A., Aksenov, A.A., Shcherbakova, O.O., Finogeev, A.S. The Structure and Mechanical Properties of Rolled Sheets of the Multicomponent Al–2.5Ca–2.5Mg Alloy Doped with Scandium and Zirconium (2023) Physics of Metals and Metallography, 124 (7), pp. 692-697",Статья
