Author,Scopus ID,Scopus Article,Total Authors Count,Author Contribution,Workplaces Count
Радионова Людмила Владимировна,57170512000,Mechanical attributes and microstructural characteristics of resistance spot-welded HSLA 420 steel joints,6,0.17,1
Радионова Людмила Владимировна,57170512000,Correlating Electrode Degradation with Weldability of Galvanized BH 220 Steel during the Electrode Failure Process of Resistance Spot Welding,5,0.2,1
Рачков Михаил Юрьевич,6602166808,Dynamic Characteristics Determination of the Radiation Power Control System for the Industrial CO2 Laser Excited by а Nonself-Sustained Glow Discharge; [Определение динамических характеристик системы управления мощностью излучения технологических СО2-лазеров с накачкой несамостоятельным тлеющим разрядом],5,0.2,1
Тер-Ваганянц Юлия Суреновна,57807142900,Investigation of Sintering Process of Powder Steel SP60KhN4D2М with Various Plasticizers and Alloying Additives in Original Charge,4,0.25,1
Тер-Ваганянц Юлия Суреновна,57807142900,Effect of Different Plasticizers on Technological Properties of a Powder Mixture of SP60KhN4D2M Steel,4,0.25,1
Типалин Сергей Александрович,55990152000,Features of calculating power parameters for straightening bimetallic sheet blanks,3,0.33,1
Типалин Сергей Александрович,55990152000,Changes in flange thickness when drawing sheet blanks,3,0.33,1
Хламкова Светлана Сергеевна,12041842700,Effect of Heat Treatment on the Structure and Properties of a D16 Aluminum Alloy,3,0.33,1
Шаталов Роман Львович,6602161141,Effects of Uneven Temperature Variations on the Mechanical Properties of a Rolling and Pressing Line Deforming Tool,3,0.33,1
Шаталов Роман Львович,6602161141,Properties and Structure Control of Hot-Worked Vessels by Varying the Cooling Media at the Outlet of the Rolling-Press Line,2,0.5,1
Шаталов Роман Львович,6602161141,Determining the Hardening Curve and Mechanical Properties of Rolled Strips of Tin-Phosphorus Bronze (BrOF6.5–0.15),2,0.5,1
Шаталов Роман Львович,6602161141,Investigation of Hardening Curves and Mechanical Properties of Copper Alloy M0 Depending on the Degree of Deformation During Cold Rolling of Strips,3,0.33,1
Шаталов Роман Львович,6602161141,Development of the theory of calculating the force indicators of rolling along the length of thin bands and strips,1,1.0,1
Шаталов Роман Львович,6602161141,Development and study of temperature treatment conditions that ensure the specified dimensions and properties of steel vessels on a rolling-press line,3,0.33,1
Шаталов Роман Львович,6602161141,"Influence of temperature unevenness on the hardness, structure and defects of the piercing plug of a three-roll screw rolling 30-80 mill",3,0.33,1
Шпунькин Николай Фомич,56208600800,Technological capabilities of the MTL-10G-1 testing machine,1,1.0,1
Шульгин Александр Васильевич,36876363200,Controlled Coil Chilling As Backbone Link in Hot-Rolled Sheet and Plate Steel Production,4,0.25,1
Якутина Светлана Викторовна,57190488824,Evolution of the Composition of the Ion-Alloyed Layer in a VT6 Titanium Alloy after Aluminum–Ion Irradiation,5,0.2,1
Якутина Светлана Викторовна,57190488824,Structure and Properties of a Grade 1420 Aluminum Alloy after Argon Ion Irradiation,5,0.2,1
Сафонов Евгений Владимирович,6602349960,Electrochemical Treatment of the Surface of 12Kh18N10T Steel Parts Produced by Selective Laser Melting,4,0.25,1
Сафонов Евгений Владимирович,6602349960,Affect of the Scattering Asymmetry by Structural Element of Thermal- or Environmental-Barrier Ceramics on Subsurface Radiant Overheating,5,0.2,1
