Author,Scopus ID,Scopus Article,Total Authors Count,Author Contribution,Workplaces Count
Ливсон Майя Владимировна,57202905965,STATE REGULATION AS A COMPREHENSIVE MECHANISM FOR THE SUSTAINABLE DEVELOPMENT OF TERRITORIES; [REGULAÇÃO ESTADUAL COMO MECANISMO INTEGRAL PARA O DESENVOLVIMENTO SUSTENTÁVEL DOS TERRITÓRIOS],4,0.25,1
Островская Ольга Игоревна,57199262029,From Scientific and Technical to Socio-Ecological revolution–A Step into the Future,3,0.33,1
Фомичёва Лилия Михайловна,57216766005,Effectiveness of mineral fertilizers in cultivation of maize for grain under conditions of the Central Chernozem region,5,0.2,1
Фомичёва Лилия Михайловна,57216766005,CHOOSING A SCENARIO FOR IMPROVING THE SUSTAINABILITY OF SUPPLY CHAINS IN CONSTRUCTION; [ESCOLHENDO UM CENÁRIO PARA MELHORAR A SUSTENTABILIDADE DAS CADEIAS DE ABASTECIMENTO NA CONSTRUÇÃO]; [ELECCIÓN DE UN ESCENARIO PARA MEJORAR LA SOSTENIBILIDAD DE LAS CADENAS DE SUMINISTRO EN LA CONSTRUCCIÓN],5,0.2,1
Чвякин Владимир Алексеевич,57208036539,Loyalty of young professionals as a factor in the development of the professional environment on the example of pedagogical universities; [Лояльность молодых специалистов как фактор развития профессиональной среды на примере педагогических вузов],3,0.33,1
Чвякин Владимир Алексеевич,57208036539,Professional self-realization of a university teacher in an online communication educational environment; [Профессиональная самореализация преподавателя вуза в онлайн-коммуникационной образовательной среде],2,0.5,1
Чвякин Владимир Алексеевич,57208036539,"Ensuring psychological safety for people with disabilities, taking into account gender and age characteristics; [Обеспечение психологической безопасности лиц с ограниченными возможностями здоровья с учетом гендерных и возрастных особенностей]",3,0.33,1
Шарян Эмма Грачовна,57212375907,Information technology: Current status and trends,4,0.12,2
Шарян Эмма Грачовна,57212375907,Smart Economy and Its Impact on Educational Process of Transport Specialists,4,0.12,2
Назаренко Антон Владимирович,56583784500,Regional strategic partnership’s development in the preparation of graduates of the university educational program “state and municipal administration”,5,0.2,1
Назаренко Антон Владимирович,56583784500,Alternative mechanisms of managing the education’s development in the social investment model of Russia’s economic growth: standardization versus deregulation,4,0.25,1
