Авторы,Идентификатор автора(ов),Название,Год,Название источника,Том,Выпуск ,Статья №,Страница начала,Страница окончания,Количество страниц,Ссылка,Организации,Авторы организаций,Тип документа,Источник,EID
"Galaktionov I., Sheldakova J., Nikitin A., Toporovsky V., Kudryashov A.","56352323900;57327314600;56647558000;57202457583;7004918935;","A Hybrid Model for Analysis of Laser Beam Distortions Using Monte Carlo and Shack–Hartmann Techniques: Numerical Study and Experimental Results",2023,"Algorithms","16","7","337","","",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165982320&doi=10.3390%2fa16070337&partnerID=40&md5=6c9775b547e73692e467f770a07308c5","Institute of Geosphere Dynamics, Leninskiy Avenue 38, Bld. 1, Moscow, 119334, Russian Federation; Department of Physics, Moscow Polytechnic University, Bolshaya Semyonovskaya Street, 38, Moscow, 107023, Russian Federation","Galaktionov, I., Institute of Geosphere Dynamics, Leninskiy Avenue 38, Bld. 1, Moscow, 119334, Russian Federation; Sheldakova, J., Institute of Geosphere Dynamics, Leninskiy Avenue 38, Bld. 1, Moscow, 119334, Russian Federation; Nikitin, A., Institute of Geosphere Dynamics, Leninskiy Avenue 38, Bld. 1, Moscow, 119334, Russian Federation; Toporovsky, V., Institute of Geosphere Dynamics, Leninskiy Avenue 38, Bld. 1, Moscow, 119334, Russian Federation; Kudryashov, A., Institute of Geosphere Dynamics, Leninskiy Avenue 38, Bld. 1, Moscow, 119334, Russian Federation, Department of Physics, Moscow Polytechnic University, Bolshaya Semyonovskaya Street, 38, Moscow, 107023, Russian Federation",Article,Scopus,2-s2.0-85165982320
"Brigida V.S., Golik V.I., Klyuev R.V., Sabirova L.B., Mambetalieva A.R., Karlina Y.I.","57209375522;6602135324;57194206632;57221665548;58504601100;57210311769;","Efficiency Gains When Using Activated Mill Tailings in Underground Mining",2023,"Metallurgist","67","3-4",,"398","408",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165713327&doi=10.1007%2fs11015-023-01526-z&partnerID=40&md5=d2e314c35de8041abc8ae9077307f57d","Patrice Lumumba Peoples’ Friendship University of Russia (RUDN University), Moscow, Russian Federation; Moscow Polytechnic University, Moscow, Russian Federation; Satbayev National Research University, Almaty, Kazakhstan; Moscow State University of Civil Engineering, Moscow, Russian Federation","Brigida, V.S., Patrice Lumumba Peoples’ Friendship University of Russia (RUDN University), Moscow, Russian Federation; Golik, V.I., Moscow Polytechnic University, Moscow, Russian Federation; Klyuev, R.V., Moscow Polytechnic University, Moscow, Russian Federation; Sabirova, L.B., Satbayev National Research University, Almaty, Kazakhstan; Mambetalieva, A.R., Satbayev National Research University, Almaty, Kazakhstan; Karlina, Y.I., Moscow State University of Civil Engineering, Moscow, Russian Federation",Article,Scopus,2-s2.0-85165713327
"Shatalov R.L., Tran V.Q., Pham V.H.","6602161141;57550236900;57278822700;","Investigation of Hardening Curves and Mechanical Properties of Copper Alloy M0 Depending on the Degree of Deformation During Cold Rolling of Strips",2023,"Metallurgist","67","3-4",,"289","296",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165255115&doi=10.1007%2fs11015-023-01516-1&partnerID=40&md5=4dd2a3eb144183dacdad84767c08fef5","Moscow Polytechnic University, Moscow, Russian Federation; Tran Dai Nghia University, Ho Chi Minh, Viet Nam","Shatalov, R.L., Moscow Polytechnic University, Moscow, Russian Federation; Tran, V.Q., Moscow Polytechnic University, Moscow, Russian Federation; Pham, V.H., Tran Dai Nghia University, Ho Chi Minh, Viet Nam",Article,Scopus,2-s2.0-85165255115
"Malozyomov B.V., Martyushev N.V., Voitovich E.V., Kononenko R.V., Konyukhov V.Y., Tynchenko V., Kukartsev V.A., Tynchenko Y.A.","10239844500;36671592800;56300627600;56281057500;56769690400;57189990910;56063508500;57209807779;","Designing the Optimal Configuration of a Small Power System for Autonomous Power Supply of Weather Station Equipment",2023,"Energies","16","13","5046","","",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164834579&doi=10.3390%2fen16135046&partnerID=40&md5=9d0219599e9f0e80538497be3f69f991","Department of Electrotechnical Complexes, Novosibirsk State Technical University, 20 Karla Marksa Ave, Novosibirsk, 630073, Russian Federation; Department of Advanced Technologies, Tomsk Polytechnic University, Tomsk, 634050, Russian Federation; Department of Industrial and Civil Engineering, Moscow Polytechnic University, Moscow, 107023, Russian Federation; Computer Hardware and Software Laboratory, Institute of Information Technologies and Data Analysis, Irkutsk National Research Technical University, Irkutsk, 664074, Russian Federation; Department of Automation and Control, Irkutsk National Research Technical University, Irkutsk, 664074, Russian Federation; Digital Material Science: New Materials and Technologies, Bauman Moscow State Technical University, Moscow, 105005, Russian Federation; Department of Technological Machines and Equipment of Oil and Gas Complex, School of Petroleum and Natural Gas Engineering, Siberian Federal University, Krasnoyarsk, 660041, Russian Federation; Information-Control Systems Department, Institute of Computer Science and Telecommunications, Reshetnev Siberian State University of Science and Technology, Krasnoyarsk, 660037, Russian Federation; Department of Materials Science and Materials Processing Technology, Polytechnical Institute, Siberian Federal University, Krasnoyarsk, 660041, Russian Federation; Laboratory of Biofuel Compositions, Siberian Federal University, Krasnoyarsk, 660041, Russian Federation; Department of Systems Analysis and Operations Research, Reshetnev Siberian State University of Science and Technology, Krasnoyarsk, 660037, Russian Federation","Malozyomov, B.V., Department of Electrotechnical Complexes, Novosibirsk State Technical University, 20 Karla Marksa Ave, Novosibirsk, 630073, Russian Federation; Martyushev, N.V., Department of Advanced Technologies, Tomsk Polytechnic University, Tomsk, 634050, Russian Federation; Voitovich, E.V., Department of Industrial and Civil Engineering, Moscow Polytechnic University, Moscow, 107023, Russian Federation; Kononenko, R.V., Computer Hardware and Software Laboratory, Institute of Information Technologies and Data Analysis, Irkutsk National Research Technical University, Irkutsk, 664074, Russian Federation; Konyukhov, V.Y., Department of Automation and Control, Irkutsk National Research Technical University, Irkutsk, 664074, Russian Federation; Tynchenko, V., Digital Material Science: New Materials and Technologies, Bauman Moscow State Technical University, Moscow, 105005, Russian Federation, Department of Technological Machines and Equipment of Oil and Gas Complex, School of Petroleum and Natural Gas Engineering, Siberian Federal University, Krasnoyarsk, 660041, Russian Federation, Information-Control Systems Department, Institute of Computer Science and Telecommunications, Reshetnev Siberian State University of Science and Technology, Krasnoyarsk, 660037, Russian Federation; Kukartsev, V.A., Department of Materials Science and Materials Processing Technology, Polytechnical Institute, Siberian Federal University, Krasnoyarsk, 660041, Russian Federation; Tynchenko, Y.A., Laboratory of Biofuel Compositions, Siberian Federal University, Krasnoyarsk, 660041, Russian Federation, Department of Systems Analysis and Operations Research, Reshetnev Siberian State University of Science and Technology, Krasnoyarsk, 660037, Russian Federation",Article,Scopus,2-s2.0-85164834579
"Maklakov A.S., Erdakov I.N.","56511556300;6506820491;","Study of Behavior of Voltage and Current Spectra of Three-Level Neutral Point Clamped Converter at Selected Harmonic Elimination Programmed Pulse Pattern Pulse-Width Modulation",2023,"Energies","16","13","5183","","",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164800559&doi=10.3390%2fen16135183&partnerID=40&md5=c67f846c114dbcd5531ead70fa41770b","Project Activity Center, Scientific Activity Sector, Moscow Polytechnic University, Bolshaya Semyonovskaya Street 38, Moscow, 107023, Russian Federation; Institute of Engineering and Technology, South Ural State University, Lenin Prospect 76, Chelyabinsk, 454080, Russian Federation","Maklakov, A.S., Project Activity Center, Scientific Activity Sector, Moscow Polytechnic University, Bolshaya Semyonovskaya Street 38, Moscow, 107023, Russian Federation; Erdakov, I.N., Institute of Engineering and Technology, South Ural State University, Lenin Prospect 76, Chelyabinsk, 454080, Russian Federation",Article,Scopus,2-s2.0-85164800559
"Yudin S., Sedegov A., Moskovskikh D., Volodko S., Kuskov K., Suvorova V., Danilova-Tretiak S., Vorotilo S., Nepapushev A., Khort A.","56323516600;57193429937;55511296200;57205224775;56105073800;57210727458;57489276300;57192008020;55626460500;56245219000;","Mechanism and kinetics of high-temperature oxidation of medium- and high-entropy carbides in air",2023,"Materials and Design","231",,"112048","","",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161259080&doi=10.1016%2fj.matdes.2023.112048&partnerID=40&md5=f68cdf2c526bf4772c517cc8cfd8e345","National University of Science and Technology MISiS, Moscow, 119049, Russian Federation; Moscow Polytechnic University, Moscow, 107023, Russian Federation; A.V. Luikov Heat and Mass Transfer Institute of the National Academy of Sciences of Belarus, Minsk, 220072, Belarus; KTH Royal Institute of Technology, Stockholm, SE 100-44, Sweden","Yudin, S., National University of Science and Technology MISiS, Moscow, 119049, Russian Federation, Moscow Polytechnic University, Moscow, 107023, Russian Federation; Sedegov, A., National University of Science and Technology MISiS, Moscow, 119049, Russian Federation; Moskovskikh, D., National University of Science and Technology MISiS, Moscow, 119049, Russian Federation; Volodko, S., National University of Science and Technology MISiS, Moscow, 119049, Russian Federation; Kuskov, K., National University of Science and Technology MISiS, Moscow, 119049, Russian Federation; Suvorova, V., National University of Science and Technology MISiS, Moscow, 119049, Russian Federation; Danilova-Tretiak, S., A.V. Luikov Heat and Mass Transfer Institute of the National Academy of Sciences of Belarus, Minsk, 220072, Belarus; Vorotilo, S., National University of Science and Technology MISiS, Moscow, 119049, Russian Federation; Nepapushev, A., National University of Science and Technology MISiS, Moscow, 119049, Russian Federation; Khort, A., KTH Royal Institute of Technology, Stockholm, SE 100-44, Sweden",Article,Scopus,2-s2.0-85161259080
"Liu H., Liu Q., Rao C., Wang F., Alsokhiry F., Shvetsov A.V., Mohamed M.A.","58222818700;58222059900;57222962195;57194046843;55569375400;57192396079;36084694000;","An effective energy management Layout-Based reinforcement learning for household demand response in digital twin simulation",2023,"Solar Energy","258",,,"95","105",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85156269979&doi=10.1016%2fj.solener.2023.04.051&partnerID=40&md5=52948137149791ace21e3c4ed3f55e03","State Grid Hubei Xiangyang Power Supply Company, Xiangyang, 441000, China; College of Mechanical and Electrical Engineering, Wuhan Qingchuan University, Wuhan, 430204, China; State Grid Hubei Jingmen Power Supply Company, Jingmen, 448000, China; Department of Electrical and Computer Engineering, Faculty of Engineering, King Abdulaziz University, Jeddah, 21589, Saudi Arabia; Department of Smart Technologies, Moscow Polytechnic University, 107023, st. Bolshaya Semenovskaya, 38, Moscow, Russian Federation; Department of Transport, North-Eastern Federal University, 677000, Yakutsk, st. Belinsky, 58, Yakutsk, Russian Federation; Electrical Engineering Department, Faculty of Engineering, Minia University, Minia, 61519, Egypt","Liu, H., State Grid Hubei Xiangyang Power Supply Company, Xiangyang, 441000, China; Liu, Q., State Grid Hubei Xiangyang Power Supply Company, Xiangyang, 441000, China; Rao, C., College of Mechanical and Electrical Engineering, Wuhan Qingchuan University, Wuhan, 430204, China; Wang, F., State Grid Hubei Jingmen Power Supply Company, Jingmen, 448000, China; Alsokhiry, F., Department of Electrical and Computer Engineering, Faculty of Engineering, King Abdulaziz University, Jeddah, 21589, Saudi Arabia; Shvetsov, A.V., Department of Smart Technologies, Moscow Polytechnic University, 107023, st. Bolshaya Semenovskaya, 38, Moscow, Russian Federation, Department of Transport, North-Eastern Federal University, 677000, Yakutsk, st. Belinsky, 58, Yakutsk, Russian Federation; Mohamed, M.A., Electrical Engineering Department, Faculty of Engineering, Minia University, Minia, 61519, Egypt",Article,Scopus,2-s2.0-85156269979
"Skvortsov A.A., Nikolaev V.K., Koryachko M.V., Skvortsov P.A., Volkov E.I.","58173684500;57487163800;56376049800;57193873766;58118667700;","Analysis of Thermomechanical Stresses in Silicon During Heating of Aluminum Interconnects on its Surface by a Pulse Current",2023,"Silicon","15","10",,"4417","4424",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148953946&doi=10.1007%2fs12633-023-02353-2&partnerID=40&md5=378e0e3b10db3730391b5e095221398c","Department of Dynamics and Strength of Machines and Materials, Moscow Polytechnic University, Moscow, Russian Federation; Mechanical Engineering Research Institute, Russian Academy of Sciences, Moscow, Russian Federation","Skvortsov, A.A., Department of Dynamics and Strength of Machines and Materials, Moscow Polytechnic University, Moscow, Russian Federation; Nikolaev, V.K., Department of Dynamics and Strength of Machines and Materials, Moscow Polytechnic University, Moscow, Russian Federation; Koryachko, M.V., Department of Dynamics and Strength of Machines and Materials, Moscow Polytechnic University, Moscow, Russian Federation; Skvortsov, P.A., Mechanical Engineering Research Institute, Russian Academy of Sciences, Moscow, Russian Federation; Volkov, E.I., Department of Dynamics and Strength of Machines and Materials, Moscow Polytechnic University, Moscow, Russian Federation",Article,Scopus,2-s2.0-85148953946
"Spierings A.B., Ozherelkov D.Y., Kneubühler F., Eremin S.A., Pelevin I.A., Nalivaiko A.Y., Petrov E.A., Gromov A.A., Wegener K.","56111981800;57094189300;57222257407;16476265000;55935080600;57210846878;7103001003;57206396084;16246992400;","Laser powder bed fusion of AlSi10Mg-based composites with graphene and nanodiamond additions",2023,"Journal of Alloys and Compounds","947",,"169421","","",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149366353&doi=10.1016%2fj.jallcom.2023.169421&partnerID=40&md5=1fa9025a538864c6d12c6cf8c713fd39","Inspire AG, Innovation Centre for Additive Manufacturing, Fürstenlandstrasse 122, St.Gallen, CH-9014, Switzerland; National University of Science and Technology MISIS, Catalysis Lab, Leninskiy pr. 4, Moscow, 119991, Russian Federation; Swiss Federal Institute of Technology, ETH Zürich, Institute of Machine Tools and Manufacturing (IWF), Leonhardstrasse 21, Zurich, CH-8092, Switzerland; Moscow Polytechnic University, Bolshaya Semyonovskaya 38, Moscow, 107023, Russian Federation; Biysk Technological Institute of Altai State Technical University named after I.I. Polzunov, ul. Trofimova 27, Altai krai, Biysk, 659305, Russian Federation; Lomonosov Moscow State University, Faculty of Fundamental Physical and Chemical Engineering, GSP-1, 1 Leninskiye Gory, Moscow, 119991, Russian Federation","Spierings, A.B., Inspire AG, Innovation Centre for Additive Manufacturing, Fürstenlandstrasse 122, St.Gallen, CH-9014, Switzerland; Ozherelkov, D.Y., National University of Science and Technology MISIS, Catalysis Lab, Leninskiy pr. 4, Moscow, 119991, Russian Federation; Kneubühler, F., Swiss Federal Institute of Technology, ETH Zürich, Institute of Machine Tools and Manufacturing (IWF), Leonhardstrasse 21, Zurich, CH-8092, Switzerland; Eremin, S.A., National University of Science and Technology MISIS, Catalysis Lab, Leninskiy pr. 4, Moscow, 119991, Russian Federation; Pelevin, I.A., National University of Science and Technology MISIS, Catalysis Lab, Leninskiy pr. 4, Moscow, 119991, Russian Federation; Nalivaiko, A.Y., National University of Science and Technology MISIS, Catalysis Lab, Leninskiy pr. 4, Moscow, 119991, Russian Federation, Moscow Polytechnic University, Bolshaya Semyonovskaya 38, Moscow, 107023, Russian Federation; Petrov, E.A., Biysk Technological Institute of Altai State Technical University named after I.I. Polzunov, ul. Trofimova 27, Altai krai, Biysk, 659305, Russian Federation; Gromov, A.A., National University of Science and Technology MISIS, Catalysis Lab, Leninskiy pr. 4, Moscow, 119991, Russian Federation, Lomonosov Moscow State University, Faculty of Fundamental Physical and Chemical Engineering, GSP-1, 1 Leninskiye Gory, Moscow, 119991, Russian Federation; Wegener, K., Swiss Federal Institute of Technology, ETH Zürich, Institute of Machine Tools and Manufacturing (IWF), Leonhardstrasse 21, Zurich, CH-8092, Switzerland",Article,Scopus,2-s2.0-85149366353
"Polevoy G.G.","57204190389;","Stributing the Attention of Schoolchildren and Its Development with the Help of Classical Exercises",2023,"Bangladesh Journal of Medical Science","22","3",,"604","611",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163669761&doi=10.3329%2fbjms.v22i3.66966&partnerID=40&md5=867d5461a57fededb79e0d2613933997","Department of Physical Education, Moscow Polytechnic University, Moscow, Russian Federation; Department of Physical Education, Vyatka State University, Kirov, Russian Federation","Polevoy, G.G., Department of Physical Education, Moscow Polytechnic University, Moscow, Russian Federation, Department of Physical Education, Vyatka State University, Kirov, Russian Federation",Article,Scopus,2-s2.0-85163669761
"Polevoy G.G.","57204190389;","The influence of physical activity on the thinking of schoolchildren",2023,"Bangladesh Journal of Medical Science","22","3",,"612","616",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163570071&doi=10.3329%2fbjms.v22i3.65334&partnerID=40&md5=f3c749dacb630784252148fb2d48326c","Department of Physical Education, Moscow Polytechnic University, Moscow, Russian Federation; Department of Physical Education, Vyatka State University, Kirov, Russian Federation","Polevoy, G.G., Department of Physical Education, Moscow Polytechnic University, Moscow, Russian Federation, Department of Physical Education, Vyatka State University, Kirov, Russian Federation",Article,Scopus,2-s2.0-85163570071
"Rogachev S.O., Naumova E.A., Tabachkova N.Y., Ten D.V., Sundeev R.V., Zadorozhnyi M.Y.","35300576200;7005017317;6504517286;57214884306;37014949700;57195439420;","The Effect of High-Pressure Torsion on the Structure and Mechanical Properties of the Al–Ca–Cu Alloy",2023,"Physics of Metals and Metallography","124","6",,"632","638",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173576647&doi=10.1134%2fS0031918X23600835&partnerID=40&md5=3e11bf03198999f475937abc283b3408","National University of Science and Technology MISiS, Moscow, 119049, Russian Federation; Baikov Institute of Metallurgy and Materials Science, Russian Academy of Sciences, Moscow, 119334, Russian Federation; Moscow Polytechnic University, Moscow, 107023, Russian Federation","Rogachev, S.O., National University of Science and Technology MISiS, Moscow, 119049, Russian Federation, Baikov Institute of Metallurgy and Materials Science, Russian Academy of Sciences, Moscow, 119334, Russian Federation; Naumova, E.A., National University of Science and Technology MISiS, Moscow, 119049, Russian Federation; Tabachkova, N.Y., National University of Science and Technology MISiS, Moscow, 119049, Russian Federation; Ten, D.V., National University of Science and Technology MISiS, Moscow, 119049, Russian Federation; Sundeev, R.V., National University of Science and Technology MISiS, Moscow, 119049, Russian Federation; Zadorozhnyi, M.Y., Moscow Polytechnic University, Moscow, 107023, Russian Federation",Article,Scopus,2-s2.0-85173576647
"Balagurov A.M., Samoylova N.Y., Sumnikov S.V., Palacheva V.V., Golovin I.S.","7006758479;57193142609;57186665500;56268988800;7006821098;","Structural and magnetic phase transitions in Fe3Ge: A neutron diffraction study",2023,"Physical Review Materials","7","6","063603","","",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164246506&doi=10.1103%2fPhysRevMaterials.7.063603&partnerID=40&md5=ce1a5f295c1972d6bb614135a896b3c1","Joint Institute for Nuclear Research, Dubna, 141980, Russian Federation; National University of Science and Technology, MISIS, Moscow, 119049, Russian Federation; Lomonosov Moscow State University, Moscow, 119991, Russian Federation; Moscow Polytechnic University, Moscow, 107023, Russian Federation","Balagurov, A.M., Joint Institute for Nuclear Research, Dubna, 141980, Russian Federation, National University of Science and Technology, MISIS, Moscow, 119049, Russian Federation, Lomonosov Moscow State University, Moscow, 119991, Russian Federation; Samoylova, N.Y., Joint Institute for Nuclear Research, Dubna, 141980, Russian Federation; Sumnikov, S.V., Joint Institute for Nuclear Research, Dubna, 141980, Russian Federation, National University of Science and Technology, MISIS, Moscow, 119049, Russian Federation; Palacheva, V.V., Joint Institute for Nuclear Research, Dubna, 141980, Russian Federation, National University of Science and Technology, MISIS, Moscow, 119049, Russian Federation; Golovin, I.S., Joint Institute for Nuclear Research, Dubna, 141980, Russian Federation, National University of Science and Technology, MISIS, Moscow, 119049, Russian Federation, Moscow Polytechnic University, Moscow, 107023, Russian Federation",Article,Scopus,2-s2.0-85164246506
"Khan M.A., Alhakami H., Alhakami W., Shvetsov A.V., Ullah I.","57203167713;57203958756;56004873500;57192396079;57204077807;","A Smart Card-Based Two-Factor Mutual Authentication Scheme for Efficient Deployment of an IoT-Based Telecare Medical Information System",2023,"Sensors","23","12","5419","","",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163980559&doi=10.3390%2fs23125419&partnerID=40&md5=833710a3de8d6d7b88f9e0493f399222","Department of Electrical Engineering, Hamdard Institute of Engineering and Technology, Hamdard University, Islamabad, 44000, Pakistan; Department of Computer Science, College of Computer and Information Systems, Umm Al-Qura University, Makkah, 21955, Saudi Arabia; Department of Information Technology, College of Computers and Information Technology, Taif University, Taif, 21431, Saudi Arabia; Department of Smart Technologies, Moscow Polytechnic University, St. Bolshaya Semenovskaya, 38, Moscow, 107023, Russian Federation; Faculty of Transport, North-Eastern Federal University, St. Belinsky, 58, Yakutsk, 677000, Russian Federation","Khan, M.A., Department of Electrical Engineering, Hamdard Institute of Engineering and Technology, Hamdard University, Islamabad, 44000, Pakistan; Alhakami, H., Department of Computer Science, College of Computer and Information Systems, Umm Al-Qura University, Makkah, 21955, Saudi Arabia; Alhakami, W., Department of Information Technology, College of Computers and Information Technology, Taif University, Taif, 21431, Saudi Arabia; Shvetsov, A.V., Department of Smart Technologies, Moscow Polytechnic University, St. Bolshaya Semenovskaya, 38, Moscow, 107023, Russian Federation, Faculty of Transport, North-Eastern Federal University, St. Belinsky, 58, Yakutsk, 677000, Russian Federation; Ullah, I., Department of Electrical Engineering, Hamdard Institute of Engineering and Technology, Hamdard University, Islamabad, 44000, Pakistan",Article,Scopus,2-s2.0-85163980559
"Agarkov D., Borik M., Komarov B., Korableva G., Kulebyakin A., Kuritsyna I., Lomonova E., Milovich F., Myzina V., Tabachkova N.","55058558900;6506327381;58289879900;57226479125;23011821300;24376601200;6604096034;54953308600;6603324223;6504517286;","Long-Term Conductivity Stability of Electrolytic Membranes of Scandia Stabilized Zirconia Co-Doped with Ytterbia",2023,"Membranes","13","6","586","","",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163973139&doi=10.3390%2fmembranes13060586&partnerID=40&md5=6febb7016d216f0018f9145c6de863b5","Osipyan Institute of Solid State Physics RAS, Academician Osipyan Str., 2, Chernogolovka, 142432, Russian Federation; Moscow Institute of Physics and Technology, Institusky Lane, 9, Dolgoprudny, 141700, Russian Federation; Prokhorov General Physics Institute of Russian Academy of Sciences, Vavilova Street, 38, Moscow, 119991, Russian Federation; Department of Materials Science, Moscow Polytechnic University, Bolshaya Semyonovskaya Str., 38, Moscow, 107023, Russian Federation; Department of Materials Science of Semiconductors and Dielectrics, National University of Science and Technology «MISIS», Leninskiy Prospect, 4, Moscow, 119049, Russian Federation","Agarkov, D., Osipyan Institute of Solid State Physics RAS, Academician Osipyan Str., 2, Chernogolovka, 142432, Russian Federation, Moscow Institute of Physics and Technology, Institusky Lane, 9, Dolgoprudny, 141700, Russian Federation; Borik, M., Prokhorov General Physics Institute of Russian Academy of Sciences, Vavilova Street, 38, Moscow, 119991, Russian Federation; Komarov, B., Prokhorov General Physics Institute of Russian Academy of Sciences, Vavilova Street, 38, Moscow, 119991, Russian Federation; Korableva, G., Osipyan Institute of Solid State Physics RAS, Academician Osipyan Str., 2, Chernogolovka, 142432, Russian Federation; Kulebyakin, A., Prokhorov General Physics Institute of Russian Academy of Sciences, Vavilova Street, 38, Moscow, 119991, Russian Federation; Kuritsyna, I., Osipyan Institute of Solid State Physics RAS, Academician Osipyan Str., 2, Chernogolovka, 142432, Russian Federation; Lomonova, E., Prokhorov General Physics Institute of Russian Academy of Sciences, Vavilova Street, 38, Moscow, 119991, Russian Federation; Milovich, F., Department of Materials Science, Moscow Polytechnic University, Bolshaya Semyonovskaya Str., 38, Moscow, 107023, Russian Federation, Department of Materials Science of Semiconductors and Dielectrics, National University of Science and Technology «MISIS», Leninskiy Prospect, 4, Moscow, 119049, Russian Federation; Myzina, V., Prokhorov General Physics Institute of Russian Academy of Sciences, Vavilova Street, 38, Moscow, 119991, Russian Federation; Tabachkova, N., Prokhorov General Physics Institute of Russian Academy of Sciences, Vavilova Street, 38, Moscow, 119991, Russian Federation, Department of Materials Science of Semiconductors and Dielectrics, National University of Science and Technology «MISIS», Leninskiy Prospect, 4, Moscow, 119049, Russian Federation",Article,Scopus,2-s2.0-85163973139
"Pelevin I.A., Terekhin E.A., Ozherelkov D.Y., Tereshina I.S., Karpenkov D.Y., Bochkanov F.Y., Chernyshikhin S.V., Nalivaiko A.Y., Gromov A.A.","55935080600;57463983800;57094189300;7004431355;36918372200;58017032300;57193027226;57210846878;57206396084;","New Scanning Strategy Approach for Laser Powder Bed Fusion of Nd-Fe-B Hard Magnetic Material",2023,"Metals","13","6","1084","","",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163820740&doi=10.3390%2fmet13061084&partnerID=40&md5=2be05a6f0ae9c4e4e00770882a12e5af","Catalysis Lab, National University of Science and Technology MISIS, Moscow, 119991, Russian Federation; Faculty of Physics, Lomonosov Moscow State University, Moscow, 119991, Russian Federation; Department of Magnetism, Lomonosov Moscow State University, Moscow, 119991, Russian Federation; Department of Functional Nanosystems and High-Temperature Materials, National University of Science and Technology MISIS, Moscow, 119991, Russian Federation; Center for Materials Technologies, Skolkovo Institute of Science and Technology, Moscow, 121205, Russian Federation; Directorate of Science, Moscow Polytechnic University, Moscow, 107023, Russian Federation","Pelevin, I.A., Catalysis Lab, National University of Science and Technology MISIS, Moscow, 119991, Russian Federation; Terekhin, E.A., Catalysis Lab, National University of Science and Technology MISIS, Moscow, 119991, Russian Federation; Ozherelkov, D.Y., Catalysis Lab, National University of Science and Technology MISIS, Moscow, 119991, Russian Federation; Tereshina, I.S., Catalysis Lab, National University of Science and Technology MISIS, Moscow, 119991, Russian Federation, Faculty of Physics, Lomonosov Moscow State University, Moscow, 119991, Russian Federation; Karpenkov, D.Y., Department of Magnetism, Lomonosov Moscow State University, Moscow, 119991, Russian Federation; Bochkanov, F.Y., Department of Functional Nanosystems and High-Temperature Materials, National University of Science and Technology MISIS, Moscow, 119991, Russian Federation; Chernyshikhin, S.V., Catalysis Lab, National University of Science and Technology MISIS, Moscow, 119991, Russian Federation, Center for Materials Technologies, Skolkovo Institute of Science and Technology, Moscow, 121205, Russian Federation; Nalivaiko, A.Y., Directorate of Science, Moscow Polytechnic University, Moscow, 107023, Russian Federation; Gromov, A.A., Catalysis Lab, National University of Science and Technology MISIS, Moscow, 119991, Russian Federation",Article,Scopus,2-s2.0-85163820740
"Radionov A.A., Liubimov I.V., Yachikov I.M., Abdulveleev I.R., Khramshina E.A., Karandaev A.S.","6701841785;57219931219;15046260100;56711989500;57170708500;6508261674;","Method for Forecasting the Remaining Useful Life of a Furnace Transformer Based on Online Monitoring Data",2023,"Energies","16","12","4630","","",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163797620&doi=10.3390%2fen16124630&partnerID=40&md5=6bd5cb2a4fa1b273767bf242134a5a6c","Department of Automation and Control, Moscow Polytechnic University, Moscow, 107023, Russian Federation; Department of Electric Drive and Mechatronics, South Ural State University, Chelyabinsk, 454080, Russian Federation; Department of Information-Measuring Equipment, South Ural State University, Chelyabinsk, 454080, Russian Federation; Power Engineering and Automated Systems Institute, Nosov Magnitogorsk State Technical University, Magnitogorsk, 455000, Russian Federation","Radionov, A.A., Department of Automation and Control, Moscow Polytechnic University, Moscow, 107023, Russian Federation; Liubimov, I.V., Department of Electric Drive and Mechatronics, South Ural State University, Chelyabinsk, 454080, Russian Federation; Yachikov, I.M., Department of Information-Measuring Equipment, South Ural State University, Chelyabinsk, 454080, Russian Federation; Abdulveleev, I.R., Power Engineering and Automated Systems Institute, Nosov Magnitogorsk State Technical University, Magnitogorsk, 455000, Russian Federation; Khramshina, E.A., Power Engineering and Automated Systems Institute, Nosov Magnitogorsk State Technical University, Magnitogorsk, 455000, Russian Federation; Karandaev, A.S., Power Engineering and Automated Systems Institute, Nosov Magnitogorsk State Technical University, Magnitogorsk, 455000, Russian Federation",Article,Scopus,2-s2.0-85163797620
