Author,Scopus ID,Scopus Article,Total Authors Count,Author Contribution,Workplaces Count
Клюев Роман Владимирович,57194206632,Short-term prediction of energy consumption at concentration factory; [КРАТКОСРОЧНОЕ ПРОГНОЗИРОВАНИЕ ЭЛЕКТРОПОТРЕБЛЕНИЯ ОБОГАТИТЕЛЬНОЙ ФАБРИКИ],5,0.2,1
Клюев Роман Владимирович,57194206632,Comprehensive assessment of hydrodynamic processes in the Klinskoye Quarry with the use of their control methods in rock masses; [Комплексная оценка гидродинамических процессов на карьерах Клинского месторождения с помощью методов управления ими в массивах горных пород],4,0.25,1
Клюев Роман Владимирович,57194206632,Integrated analysis of electric energy demand of autogenous grinding mills at concentration factories; [КОМПЛЕКСНЫЙ АНАЛИЗ ПОТРЕБЛЕНИЯ ЭЛЕКТРОЭНЕРГИИ МЕЛЬНИЦ САМОИЗМЕЛЬЧЕНИЯ ОБОГАТИТЕЛЬНОЙ ФАБРИКИ],4,0.25,1
Клюев Роман Владимирович,57194206632,Experimental Assessment and Justification of Measures to Ensure the Safety and Sustainability of the Functioning of Critical Elements of Hydraulic Structures,3,0.33,1
Клюев Роман Владимирович,57194206632,Tailings Utilization and Zinc Extraction Based on Mechanochemical Activation,7,0.14,1
Клюев Роман Владимирович,57194206632,Structural and geological features of ore zones in the southeast of the Siberian Platform; [СТРУКТУРНО-ГЕОЛОГИЧЕСКИЕ ОСОБЕННОСТИ РУДНЫХ ЗОН ЮГО-ВОСТОЧНОЙ ЧАСТИ СИБИРСКОЙ ПЛАТФОРМЫ],4,0.25,1
Кузина Александра Владимировна,57218871596,The Problem of Renewable Energy Sources and Market Mechanisms in Various Energy Systems in the Era of Global Crises,3,0.33,1
Кузина Александра Владимировна,57218871596,"Justification of the roll crusher calculation parameters, taking into account the use of spar screen surface; [Обоснование параметров расчета валковой дробилки с учетом применения шпальтовых просеивающих поверхностей]",4,0.25,1
Малеев Руслан Алексеевич,9250353300,Method for Calculating the Traction Electric Drive of a Vehicle with a Combined Energy Storage,3,0.33,1
Малеев Руслан Алексеевич,9250353300,Charger for Capacitive Energy Storage Devices with High Energy Parameters,3,0.33,1
Марюшин Леонид Александрович,6506319167,Investigation of the influence of pollution on heat exchange during boiling of water in curved pipes of a direct-flow coil type steam generator,5,0.2,1
Рязанцева Анна Владимировна,57216811772,"Ionic implantation influence on the properties of cast iron used in the structures of mining machines and devices; [Влияние ионной имплантации на свойства чугуна, используемого в конструкциях горнодобывающих машин и аппаратов]",4,0.25,1
Сборщиков Сергей Борисович,57192377091,Complex measures to develop informatization and automation of construction and technical expertise,3,0.0,0
Усанова Ольга Юрьевна,6507887721,"Ionic implantation influence on the properties of cast iron used in the structures of mining machines and devices; [Влияние ионной имплантации на свойства чугуна, используемого в конструкциях горнодобывающих машин и аппаратов]",4,0.25,1
Шишков Александр Николаевич,43861781400,Features of the overhaul of the housing stock of the Russian Federation in the light of the development of smart cities,5,0.2,1
Шишков Александр Николаевич,43861781400,Ways of modernization of heat metering units of buildings,5,0.2,1
Шишков Александр Николаевич,43861781400,Study of the dependence of an air jet shape on pressure in a Laval nozzle,7,0.14,1
Шишков Александр Николаевич,43861781400,The Influence of Different Types of Switching Sequences in Space-Vector PWM on Output Characteristics of Three-Level Voltage Inverter,4,0.25,1
Шишков Александр Николаевич,43861781400,Neutral Point Voltage Balance Based on Space-Vector PWM with Five-Stage Sequence for Three-Level Voltage Inverter,4,0.25,1
Шишков Александр Николаевич,43861781400,Operational improvement of coil type direct-flow steam generator by using chemical water treatment system,5,0.2,1
